OLD Site,REF LOC_ID,New Site
AYA0104,D_AYA0104,AYT0104
AYA0106,D_AYA0106,AYT0106
AYA0107,D_AYA0107,AYT0107
AYA0113,D_AYA0113,AYT0113
AYA0115,D_AYA0115,AYT0115
AYA0116,D_AYA0116,AYT0116
AYA0117,D_AYA0117,AYT0117
AYA0118,D_AYA0118,AYT0118
AYA0120,D_AYA0120,AYT0120
AYA0121,D_AYA0121,AYT0121
AYA0122,D_AYA0122,AYT0122
AYA0124,D_AYA0124,AYT0124
AYA0125,D_AYA0125,AYT0125
AYA0126,D_AYA0126,AYT0126
AYA0131,D_AYA0131,AYT0131
AYA0136,D_AYA0136,AYT0136
AYA0137,D_AYA0137,AYT0137
AYA0139,D_AYA0139,AYT0139
AYA0140,D_AYA0140,AYT0140
AYA0141,D_AYA0141,AYT0141
AYA0142,D_AYA0142,AYT0142
AYA0146,D_AYA0146,AYT0146
AYA0148,D_AYA0148,AYT0148
AYA0149,D_AYA0149,AYT0149
AYA0151,D_AYA0151,AYT0151
AYA0152,D_AYA0152,AYT0152
AYA0154,D_AYA0154,AYT0154
AYA0155,D_AYA0155,AYT0155
AYA0156,D_AYA0156,AYT0156
AYA0157,D_AYA0157,AYT0157
AYA0158,D_AYA0158,AYT0158
AYA0159,D_AYA0159,AYT0159
AYA0160,D_AYA0160,AYT0160
AYA0161,D_AYA0161,AYT0161
AYA0163,D_AYA0163,AYT0163
AYA0164,D_AYA0164,AYT0164
AYA0165,D_AYA0165,AYT0165
AYA0166,D_AYA0166,AYT0166
AYA0167,D_AYA0167,AYT0167
AYA0168,D_AYA0168,AYT0168
AYA0174,D_AYA0174,AYT0174
AYA0177,D_AYA0177,AYT0177
AYA0180,D_AYA0180,AYT0180
AYA0189,D_AYA0189,AYT0189
AYA0190,D_AYA0190,AYT0190
AYA0192,D_AYA0192,AYT0192
AYA0193,D_AYA0193,AYT0193
AYA0196,D_AYA0196,AYT0196
AYA0198,D_AYA0198,AYT0198
AYA0199,D_AYA0199,AYT0199
AYA0202,D_AYA0202,AYT0202
AYA0203,D_AYA0203,AYT0203
AYA0206,D_AYA0206,AYT0206
AYA0208,D_AYA0208,AYT0208
AYA0211,D_AYA0211,AYT0211
AYA0212,D_AYA0212,AYT0212
AYA0213,D_AYA0213,AYT0213
AYA0214,D_AYA0214,AYT0214
AYA0215,D_AYA0215,AYT0215
AYA0216,D_AYA0216,AYT0216
AYA0217,D_AYA0217,AYT0217
AYA0223,D_AYA0223,AYT0223
AYA0224,D_AYA0224,AYT0224
AYA0229,D_AYA0229,AYT0229
AYA0232,D_AYA0232,AYT0232
AYA0233,D_AYA0233,AYT0233
AYA0234,D_AYA0234,AYT0234
AYA0235,D_AYA0235,AYT0235
AYA0236,D_AYA0236,AYT0236
AYA0237,D_AYA0237,AYT0237
AYA0238,D_AYA0238,AYT0238
AYA0239,D_AYA0239,AYT0239
AYA0240,D_AYA0240,AYT0240
AYA0241,D_AYA0241,AYT0241
AYA0242,D_AYA0242,AYT0242
AYA0244,D_AYA0244,AYT0244
AYA0249,D_AYA0249,
AYA0252,D_AYA0252,AYT0252
AYA0263,D_AYA0263,AYT0263
AYA0269,D_AYA0269,
AYA0272,D_AYA0272,AYT0272
AYA0280,D_AYA0280,AYT0280
AYA0283,D_AYA0283,AYT0283
AYA0285,D_AYA0285,AYT0285
AYA0286,D_AYA0286,AYT0286
AYA0287,D_AYA0287,AYT0287
AYA0290,D_AYA0290,AYT0290
AYA0291,D_AYA0291,AYT0291
AYA0293,D_AYA0293,AYT0293
AYA0302,D_AYA0302,AYT0302
AYA0303,D_AYA0303,AYT0303
AYA0304,D_AYA0304,AYT0304
AYA0312,D_AYA0312,AYT0312
AYA0315,D_AYA0315,AYT0315
AYA0319,D_AYA0319,AYT0319
AYA0324,D_AYA0324,AYT0324
AYA0325,D_AYA0325,AYT0325
AYA0326,D_AYA0326,AYT0326
AYA0329,D_AYA0329,AYT0329
AYA0334,D_AYA0334,AYT0334
AYA0335,D_AYA0335,AYT0335
AYA0336,D_AYA0336,AYT0336
AYA0338,D_AYA0338,AYT0338
AYA0342,D_AYA0342,AYT0342
AYA0343,D_AYA0343,AYT0343
AYA0346,D_AYA0346,AYT0346
AYA0348,D_AYA0348,AYT0348
AYA0349,D_AYA0349,AYT0349
AYA0350,D_AYA0350,AYT0350
AYA0351,D_AYA0351,AYT0351
AYA0353,D_AYA0353,AYT0353
AYA0354,D_AYA0354,AYT0354
AYA0358,D_AYA0358,AYT0358
AYA0359,D_AYA0359,AYT0359
AYA0366,D_AYA0366,AYT0366
AYA0368,D_AYA0368,AYT0368
AYA0373,D_AYA0373,AYT0373
AYA0380,D_AYA0380,AYT0380
AYA0383,D_AYA0383,AYT0383
AYA0384,D_AYA0384,AYT0384
AYA0386,D_AYA0386,AYT0386
AYA0387,D_AYA0387,AYT0387
AYA0391,D_AYA0391,AYT0391
AYA0392,D_AYA0392,AYT0392
AYA0393,D_AYA0393,AYT0393
AYA0396,D_AYA0396,AYT0396
AYA0398,D_AYA0398,AYT0398
AYA0401,D_AYA0401,AYT0401
AYA0407,D_AYA0407,AYT0407
AYA0410,D_AYA0410,AYT0410
AYA0416,D_AYA0416,AYT0416
AYA0420,D_AYA0420,AYT0420
AYA0421,D_AYA0421,AYT0421
AYA0423,D_AYA0423,AYT0423
AYA0427,D_AYA0427,AYT0427
AYA0429,D_AYA0429,AYT0429
AYA0430,D_AYA0430,AYT0430
AYA0433,D_AYA0433,AYT0433
AYA0435,D_AYA0435,AYT0435
AYA0436,D_AYA0436,AYT0436
AYA0439,D_AYA0439,AYT0439
AYA0440,D_AYA0440,
AYA0444,D_AYA0444,AYT0444
AYA0447,D_AYA0447,AYT0447
AYA0461,D_AYA0461,AYT0461
AYA0466,D_AYA0466,AYT0466
AYA0478,D_AYA0478,AYT0478
AYA0481,D_AYA0481,AYT0481
AYA0482,D_AYA0482,AYT0482
AYA0488,D_AYA0488,AYT0488
AYA0491,D_AYA0491,AYT0491
AYA0492,D_AYA0492,AYT0492
AYA0493,D_AYA0493,AYT0493
AYA0502,D_AYA0502,AYT0502
AYA0507,D_AYA0507,AYT0507
AYA0508,D_AYA0508,AYT0508
AYA0509,D_AYA0509,AYT0509
AYA0513,D_AYA0513,AYT0513
AYA0532,D_AYA0532,AYT0532
AYA0533,D_AYA0533,AYT0533
AYA0536,D_AYA0536,AYT0536
AYA0538,D_AYA0538,AYT0538
AYA0540,D_AYA0540,AYT0540
AYA0542,D_AYA0542,AYT0542
AYA0546,D_AYA0546,AYT0546
AYA0552,D_AYA0552,AYT0552
AYA0555,D_AYA0555,
AYA0556,D_AYA0556,
AYT0001,T_AYT0001,
AYT0002,T_AYT0002,
AYT0003,T_AYT0003,
AYT0004,T_AYT0004,
AYT0005,T_AYT0005,
AYT0007,T_AYT0007,
AYT0008,D_AYT0008,AYT0008
AYT0009,T_AYT0009,
AYT0010,D_AYT0010,AYT0010
AYT0011,T_AYT0011,
AYT0012,D_AYT0012,AYT0012
AYT0013,T_AYT0013,
AYT0014,T_AYT0014,
AYT0016,T_AYT0016,
AYT0017,T_AYT0017,
AYT0018,T_AYT0018,
AYT0019,T_AYT0019,
AYT0020,T_AYT0020,
AYT0021,D_AYT0021,AYT0021
AYT0022,T_AYT0022,
AYT0023,T_AYT0023,
AYT0024,T_AYT0024,
AYT0025,D_AYT0025,AYT0025
AYT0026,T_AYT0026,
AYT0027,T_AYT0027,
AYT0028,T_AYT0028,
AYT0031,T_AYT0031,
AYT0032,T_AYT0032,
AYT0033,T_AYT0033,
AYT0034,T_AYT0034,
AYT0035,T_AYT0035,
AYT0036,D_AYT0036,AYT0036
AYT0037,D_AYT0037,AYT0037
AYT0038,T_AYT0038,
AYT0039,T_AYT0039,
AYT0040,T_AYT0040,
AYT0041,T_AYT0041,
AYT0042,T_AYT0042,
AYT0044,T_AYT0044,
AYT0045,T_AYT0045,
AYT0046,T_AYT0046,
AYT0047,T_AYT0047,
AYT0048,T_AYT0048,
AYT0049,D_AYT0049,AYT0049
AYT0052,D_AYT0052,AYT0052
AYT0053,D_AYT0053,AYT0053
AYT0055,D_AYT0055,AYT0055
AYT0057,D_AYT0057,AYT0057
AYT0058,D_AYT0058,AYT0058
AYT0059,D_AYT0059,AYT0059
AYT0061,D_AYT0061,AYT0061
AYT0066,D_AYT0066,AYT0066
AYT0068,D_AYT0068,AYT0068
AYT0070,D_AYT0070,AYT0070
AYT0075,D_AYT0075,AYT0075
AYT0076,D_AYT0076,AYT0076
AYT0081,D_AYT0081,AYT0081
AYT0082,D_AYT0082,AYT0082
AYT0083,D_AYT0083,AYT0083
AYT0084,D_AYT0084,AYT0084
AYT0087,D_AYT0087,AYT0087
AYT0088,D_AYT0088,AYT0088
AYT0092,D_AYT0092,AYT0092
AYT0093,D_AYT0093,AYT0093
AYT0096,D_AYT0096,AYT0096
AYT0098,D_AYT0098,AYT0098
AYT0099,D_AYT0099,AYT0099
AYT0101,D_AYT0101,AYT0101
AYT0105,D_AYT0105,AYT0105
AYT0110,D_AYT0110,AYT0110
AYT0112,D_AYT0112,AYT0112
AYT0114,D_AYT0114,AYT0114
AYT0123,D_AYT0123,AYT0123
